Time Period	Community	# positive test in a given week	# positive tests cumulative	# test in a given week (Wednesdays thru Tuesday)	# tests administered cumulative	% Of Positive Tests Cumulative	Weekly Positivity rate
_1/13-1/19/21	Colorado College	11	110	979	12855	0.008556982	0.011235955
_1/20-1/26/21	Colorado College	13	123	1209	14064	0.008745734	0.010752688
_1/27-2/2/21	Colorado College	11	134	1478	15542	0.008621799	0.007442490
_1/6-1/12/21	Colorado College	9	99	477	11876	0.008336140	0.018867925
_2/10-2/16/21	Colorado College	3	142	1420	18361	0.007733784	0.002112676
_2/17-2/23/21	Colorado College	6	148	1682	20043	0.007384124	0.003567182
_2/24-3/2/21	Colorado College	9	157	1760	21803	0.007200844	0.005113636
_2/3-2/9/21	Colorado College	5	139	1399	16941	0.008204947	0.003573981
_3/10-3/16/21	Colorado College	6	174	1676	24940	0.006976744	0.003579952
_3/17-3/23/21	Colorado College	9	183	1854	26794	0.006829887	0.004854369
_3/24-3/30/21	Colorado College	5	188	1505	28299	0.006643344	0.003322259
_3/3-3/9/21	Colorado College	11	168	1461	23264	0.007221458	0.007529090
_3/31-4/6/21	Colorado College	10	198	1642	29941	0.006613006	0.006090134
_4/14-4/20/21	Colorado College	9	214	1699	33342	0.006418331	0.005297234
_4/21-4/27/21	Colorado College	14	228	1596	34938	0.006525846	0.008771930
_4/28-5/4/21	Colorado College	7	235	1588	36526	0.006433773	0.004408060
_4/7-4/13/21	Colorado College	7	205	1702	31643	0.006478526	0.004112808
_5/12-5/18/21	Colorado College	2	240	1342	39391	0.006092762	0.001490313
_5/19-5/25/21	Colorado College	1	241	747	40138	0.006004285	0.001338688
_5/26-6/1/21	Colorado College	2	243	338	40476	0.006003558	0.005917160
_5/5-5/11/21	Colorado College	3	238	1523	38049	0.006255092	0.001969796
_6/16-6/22/21	Colorado College	0	246	253	41326	0.005952669	0
_6/2-6/8/21	Colorado College	3	246	344	40820	0.006026458	0.008720930
_6/23-6/29/21	Colorado College	0	246	218	41544	0.005921433	0
_6/30-7/6/21	Colorado College	0	246	157	41701	0.005899139	0
_6/9-6/15/21	Colorado College	0	246	253	41073	0.005989336	0
_7/14-7/20/21	Colorado College	1	247	151	42162	0.005858356	0.006622517
_7/21-7/27/21	Colorado College	0	247	160	42322	0.005836208	0
_7/28-8/3/21	Colorado College	1	248	177	42499	0.005835431	0.005649718
_7/7-7/13/21	Colorado College	0	246	310	42011	0.005855609	0
_8/11-8/17/21	Colorado College	0	252	401	43178	0.005836306	0
_8/18-8/24/21	Colorado College	2	254	1047	44225	0.005743358	0.001910220
